sim_name,result
20_20-with-40_90,0.029938
20_20-with-70_20,-0.021466
20_20-with-1_60,-0.374464
20_20-with-70_70,0.050667
20_20-with-100_80,0.031568
20_20-with-60_10,0.039279
20_20-with-90_1,0.047184
20_20-with-60_30,0.017457
20_20-with-100_30,0.026667
20_20-with-30_30,-0.026667
20_20-with-10_60,0.038523
20_20-with-80_30,0.041284
20_20-with-80_90,0.035068
20_20-with-60_40,0.044907
20_20-with-10_70,0.027325
20_20-with-50_10,-0.011429
20_20-with-90_40,0.034663
20_20-with-70_90,0.037954
20_20-with-60_60,0.090000
20_20-with-60_90,0.024077
20_20-with-40_10,-0.106145
20_20-with-10_20,-0.071554
20_20-with-70_50,0.044134
20_20-with-20_60,0.050000
20_20-with-60_20,0.040249
20_20-with-60_100,0.058919
20_20-with-30_40,0.043644
20_20-with-100_90,0.014087
20_20-with-100_1,0.048120
20_20-with-50_60,0.053638
20_20-with-40_80,0.043729
20_20-with-40_20,0.008944
20_20-with-40_40,0.026667
20_20-with-60_1,0.069973
20_20-with-80_20,0.014907
20_20-with-30_60,0.048154
20_20-with-30_80,0.052431
20_20-with-80_60,0.033290
20_20-with-80_40,0.034286
20_20-with-80_100,0.036397
20_20-with-80_50,0.035382
20_20-with-90_70,0.027996
20_20-with-80_80,0.022222
20_20-with-60_50,0.044567
20_20-with-50_40,0.081944
20_20-with-50_100,0.029972
20_20-with-50_50,0.097778
20_20-with-50_70,0.076402
20_20-with-1_50,-0.498757
20_20-with-20_70,0.076000
20_20-with-30_100,0.017332
20_20-with-70_10,-0.014087
20_20-with-100_50,0.042400
20_20-with-40_60,0.039279
20_20-with-70_80,0.051216
20_20-with-40_70,0.021909
20_20-with-90_50,0.045338
20_20-with-100_70,0.040988
20_20-with-80_10,-0.008847
20_20-with-10_30,-0.013333
20_20-with-50_80,0.023277
20_20-with-70_1,0.023712
20_20-with-40_50,-0.021381
20_20-with-100_100,0.026667
20_20-with-40_100,0.045747
20_20-with-70_40,0.026949
20_20-with-1_20,-0.894233
